#x(km) y(km) depth(km) Pressure(bar) Temperature(oC) Density(kg/m3) Vs_diff(km/s)
     0.000      0.000    300.000 100007.000   1591.540   3496.985      0.002
     5.000      5.000    300.000 100007.000   1583.760   3497.675      0.001
    10.000     10.000    300.000 100007.000   1568.195   3499.235      0.001
    15.000     15.000    300.000 100007.000   1575.980   3498.505      0.002
    20.000     20.000    300.000 100007.000   1575.980   3498.505      0.001
    25.000     25.000    300.000 100007.000   1575.980   3498.505      0.002
    30.000     30.000    300.000 100007.000   1560.410   3499.745      0.002
    35.000     35.000    300.000 100007.000   1537.065   3501.580      0.002
    40.000     40.000    300.000 100007.000   1521.500   3502.625      0.000
    45.000     45.000    300.000 100007.000   1513.720   3503.330      0.000
    50.000     50.000    300.000 100007.000   1505.935   3504.045      0.002
    55.000     55.000    300.000 100007.000   1467.020   3507.445      0.001
    60.000     60.000    300.000 100007.000   1459.240   3508.175      0.003
    65.000     65.000    300.000 100007.000   1451.455   3510.930      0.008
    70.000     70.000    300.000 100007.000   1451.455   3510.930      0.005
    75.000     75.000    300.000 100007.000   1451.455   3510.930      0.004
    80.000     80.000    300.000 100007.000   1459.240   3508.175      0.005
    85.000     85.000    300.000 100007.000   1451.455   3510.930      0.001
    90.000     90.000    300.000 100007.000   1451.455   3510.930      0.001
    95.000     95.000    300.000 100007.000   1451.455   3510.930      0.001
   100.000    100.000    300.000 100007.000   1451.455   3510.930      0.001
   105.000    105.000    300.000 100007.000   1451.455   3510.930      0.002
   110.000    110.000    300.000 100007.000   1451.455   3510.930      0.002
   115.000    115.000    300.000 100007.000   1451.455   3510.930      0.003
   120.000    120.000    300.000 100007.000   1451.455   3510.930      0.004
   125.000    125.000    300.000 100007.000   1451.455   3510.930      0.004
   130.000    130.000    300.000 100007.000   1451.455   3510.930      0.007
   135.000    135.000    300.000 100007.000   1451.455   3510.930      0.006
   140.000    140.000    300.000 100007.000   1459.240   3508.175      0.005
   145.000    145.000    300.000 100007.000   1451.455   3510.930      0.004
   150.000    150.000    300.000 100007.000   1451.455   3510.930      0.005
   155.000    155.000    300.000 100007.000   1451.455   3510.930      0.006
   160.000    160.000    300.000 100007.000   1451.455   3510.930      0.008
   165.000    165.000    300.000 100007.000   1443.670   3514.565      0.002
   170.000    170.000    300.000 100007.000   1428.110   3516.770      0.000
   175.000    175.000    300.000 100007.000   1428.110   3516.770      0.002
   180.000    180.000    300.000 100007.000   1420.325   3517.395      0.002
   185.000    185.000    300.000 100007.000   1404.760   3518.815      0.000
   190.000    190.000    300.000 100007.000   1404.760   3518.815      0.001
     0.000      0.000    295.000  98578.100   1622.670   3488.430      0.001
     5.000      5.000    295.000  98578.100   1614.890   3489.120      0.000
    10.000     10.000    295.000  98578.100   1607.110   3489.820      0.002
