# Long Lat depth(km) Vs(km/s)
-10 55 200 4.45753002167
-9.5 55 200 4.45410013199
-9 55 200 4.45671987534
-8.5 55 200 4.46458005905
-8 55 200 4.47343015671
-7.5 55 200 4.48339986801
-7 55 200 4.49631023407
-6.5 55 200 4.50782012939
-6 55 200 4.51601982117
-5.5 55 200 4.5323600769
-5 55 200 4.55808019638
-4.5 55 200 4.57180976868
-4 55 200 4.56875991821
-3.5 55 200 4.56126022339
-3 55 200 4.55642986298
-2.5 55 200 4.55870008469
-2 55 200 4.57393980026
-1.5 55 200 4.59676980972
-1 55 200 4.61640977859
-0.5 55 200 4.62957000732
0 55 200 4.63567018509
0.5 55 200 4.63522005081
1 55 200 4.62658977509
1.5 55 200 4.6076002121
2 55 200 4.58244991302
2.5 55 200 4.55610990524
3 55 200 4.53536987305
3.5 55 200 4.52424001694
4 55 200 4.52063989639
4.5 55 200 4.52237987518
5 55 200 4.52824020386
5.5 55 200 4.53324985504
6 55 200 4.53201007843
6.5 55 200 4.5187997818
7 55 200 4.49559020996
7.5 55 200 4.47208976746
8 55 200 4.4542798996
8.5 55 200 4.43500995636
9 55 200 4.41184997559
9.5 55 200 4.3957901001
10 55 200 4.38375997543
10.5 55 200 4.37017011642
11 55 200 4.35886001587
11.5 55 200 4.35698986053
12 55 200 4.370470047
12.5 55 200 4.39575004578
13 55 200 4.41747999191
13.5 55 200 4.43975019455
14 55 200 4.47073984146
14.5 55 200 4.50263023376
15 55 200 4.52688980103
15.5 55 200 4.55082988739
16 55 200 4.57928991318
16.5 55 200 4.59995985031
17 55 200 4.60803985596
17.5 55 200 4.6096200943
18 55 200 4.61016988754
18.5 55 200 4.61275005341
19 55 200 4.61610984802
19.5 55 200 4.61826992035
20 55 200 4.61639022827
20.5 55 200 4.6106801033
21 55 200 4.60650014877
21.5 55 200 4.6047000885
22 55 200 4.59807014465
22.5 55 200 4.58705997467
23 55 200 4.57910013199
23.5 55 200 4.57715988159
24 55 200 4.58188009262
24.5 55 200 4.59402990341
25 55 200 4.60582017899
25.5 55 200 4.61485004425
26 55 200 4.62101984024
26.5 55 200 4.62750005722
27 55 200 4.63592004776
27.5 55 200 4.64176988602
28 55 200 4.64334011078
28.5 55 200 4.64553022385
29 55 200 4.64597988129
29.5 55 200 4.64243984222
30 55 200 4.63537979126
30.5 55 200 4.62630987167
31 55 200 4.61913013458
31.5 55 200 4.61589002609
32 55 200 4.61465978622
32.5 55 200 4.61084985733
33 55 200 4.60310983658
33.5 55 200 4.59252977371
34 55 200 4.58346986771
34.5 55 200 4.57840013504
35 55 200 4.57829999924
35.5 55 200 4.5799498558
36 55 200 4.58409976959
36.5 55 200 4.59135007858
37 55 200 4.60221004486
37.5 55 200 4.6120300293
38 55 200 4.6214299202
38.5 55 200 4.63155984879
39 55 200 4.64350986481
39.5 55 200 4.65427017212
40 55 200 4.66375017166
-10 54.5 200 4.43449020386
-9.5 54.5 200 4.42787981033
-9 54.5 200 4.42931985855
-8.5 54.5 200 4.43639993668
-8 54.5 200 4.44494009018
-7.5 54.5 200 4.45496988297
-7 54.5 200 4.46996021271
-6.5 54.5 200 4.48464012146
-6 54.5 200 4.49308013916
-5.5 54.5 200 4.50524997711
-5 54.5 200 4.52625989914
-4.5 54.5 200 4.54094982147
-4 54.5 200 4.54304981232
-3.5 54.5 200 4.54503011703
-3 54.5 200 4.55141019821
-2.5 54.5 200 4.56195020676
-2 54.5 200 4.57917022705
-1.5 54.5 200 4.59979009628
-1 54.5 200 4.616710186
-0.5 54.5 200 4.62946987152
0 54.5 200 4.63828992844
0.5 54.5 200 4.64106988907
1 54.5 200 4.63512992859
