#Depth(km) Depth(km) P_vel(km/s) S_vel(km/s)
0.00 3.00 1.4500 0.0000
3.00 3.00 1.4500 0.0000
3.00 3.00 1.6500 1.0000
3.30 3.30 1.6500 1.0000
3.30 3.30 5.8000 3.2000
10.00 10.00 5.8000 3.2000
10.00 10.00 6.8000 3.9000
18.00 18.00 6.8000 3.9000
18.00 18.00 8.0355 4.4839
43.00 43.00 8.0379 4.4856
80.00 80.00 8.0400 4.4800
80.00 80.00 8.0450 4.4900
120.00 120.00 8.0505 4.5000
120.00 120.00 8.0505 4.5000
165.00 165.00 8.1750 4.5090
210.00 210.00 8.3007 4.5184
210.00 210.00 8.3007 4.5184
260.00 260.00 8.4822 4.6094
310.00 310.00 8.6650 4.6964
360.00 360.00 8.8476 4.7832
410.00 410.00 9.0302 4.8702
410.00 410.00 9.3601 5.0806
460.00 460.00 9.5280 5.1864
510.00 510.00 9.6962 5.2922
560.00 560.00 9.8640 5.3989
610.00 610.00 10.0320 5.5047
660.00 660.00 10.2000 5.6104
660.00 660.00 10.7909 5.9607
710.00 710.00 10.9222 6.0898
760.00 760.00 11.0553 6.2100
809.50 809.50 11.1355 6.2424
859.00 859.00 11.2228 6.2799
908.50 908.50 11.3068 6.3164
958.00 958.00 11.3897 6.3519
1007.50 1007.50 11.4704 6.3860
1057.00 1057.00 11.5493 6.4182
1106.50 1106.50 11.6265 6.4514
1156.00 1156.00 11.7020 6.4822
1205.50 1205.50 11.7768 6.5131
1255.00 1255.00 11.8491 6.5431
1304.50 1304.50 11.9208 6.5728
1354.00 1354.00 11.9891 6.6009
1403.50 1403.50 12.0571 6.6285
1453.00 1453.00 12.1247 6.6554
1502.50 1502.50 12.1912 6.6813
1552.00 1552.00 12.2558 6.7070
1601.50 1601.50 12.3181 6.7323
1651.00 1651.00 12.3813 6.7579
1700.50 1700.50 12.4427 6.7820
1750.00 1750.00 12.5030 6.8056
1799.50 1799.50 12.5638 6.8289
1849.00 1849.00 12.6226 6.8517
1898.50 1898.50 12.6807 6.8743
1948.00 1948.00 12.7384 6.8972
1997.50 1997.50 12.7956 6.9194
2047.00 2047.00 12.8524 6.9416
2096.50 2096.50 12.9093 6.9625
2146.00 2146.00 12.9663 6.9852
2195.50 2195.50 13.0226 7.0069
2245.00 2245.00 13.0786 7.0286
2294.50 2294.50 13.1337 7.0504
2344.00 2344.00 13.1895 7.0722
2393.50 2393.50 13.2465 7.0932
2443.00 2443.00 13.3017 7.1144
2492.50 2492.50 13.3584 7.1368
2542.00 2542.00 13.4156 7.1584
2591.50 2591.50 13.4741 7.1804
2640.00 2640.00 13.5311 7.2031
2690.00 2690.00 13.5899 7.2253
2740.00 2740.00 13.6498 7.2485
2740.00 2740.00 13.6498 7.2485
2789.67 2789.67 13.6533 7.2593
2839.33 2839.33 13.6570 7.2700
2891.50 2891.50 13.6601 7.2817
2891.50 2891.50 8.0000 0.0000
2939.33 2939.33 8.0382 0.0000
2989.66 2989.66 8.1283 0.0000
3039.99 3039.99 8.2213 0.0000
3090.32 3090.32 8.3122 0.0000
3140.66 3140.66 8.4001 0.0000
3190.99 3190.99 8.4861 0.0000
3241.32 3241.32 8.5692 0.0000
3291.65 3291.65 8.6496 0.0000
3341.98 3341.98 8.7283 0.0000
3392.31 3392.31 8.8036 0.0000
3442.64 3442.64 8.8761 0.0000
3492.97 3492.97 8.9461 0.0000
3543.30 3543.30 9.0138 0.0000
3593.64 3593.64 9.0792 0.0000
3643.97 3643.97 9.1426 0.0000
3694.30 3694.30 9.2042 0.0000
3744.63 3744.63 9.2634 0.0000
3794.96 3794.96 9.3205 0.0000
3845.29 3845.29 9.3760 0.0000
3895.62 3895.62 9.4297 0.0000
3945.95 3945.95 9.4814 0.0000
3996.28 3996.28 9.5306 0.0000
4046.62 4046.62 9.5777 0.0000
4096.95 4096.95 9.6232 0.0000
4147.28 4147.28 9.6673 0.0000
4197.61 4197.61 9.7100 0.0000
4247.94 4247.94 9.7513 0.0000
4298.27 4298.27 9.7914 0.0000
4348.60 4348.60 9.8304 0.0000
4398.93 4398.93 9.8682 0.0000
4449.26 4449.26 9.9051 0.0000
4499.60 4499.60 9.9410 0.0000
4549.93 4549.93 9.9761 0.0000
4600.26 4600.26 10.0103 0.0000
4650.59 4650.59 10.0439 0.0000
4700.92 4700.92 10.0768 0.0000
4751.25 4751.25 10.1095 0.0000
4801.58 4801.58 10.1415 0.0000
4851.91 4851.91 10.1739 0.0000
4902.24 4902.24 10.2049 0.0000
4952.58 4952.58 10.2329 0.0000
5002.91 5002.91 10.2565 0.0000
5053.24 5053.24 10.2745 0.0000
5103.57 5103.57 10.2854 0.0000
5153.50 5153.50 10.2890 0.0000
5153.50 5153.50 11.0427 3.5043
5204.61 5204.61 11.0585 3.5187
5255.32 5255.32 11.0718 3.5314
5306.04 5306.04 11.0850 3.5435
5356.75 5356.75 11.0983 3.5551
5407.46 5407.46 11.1166 3.5661
5458.17 5458.17 11.1316 3.5765
5508.89 5508.89 11.1457 3.5864
5559.60 5559.60 11.1590 3.5957
5610.31 5610.31 11.1715 3.6044
5661.02 5661.02 11.1832 3.6126
5711.74 5711.74 11.1941 3.6202
5762.45 5762.45 11.2041 3.6272
5813.16 5813.16 11.2134 3.6337
5863.87 5863.87 11.2219 3.6396
5914.59 5914.59 11.2295 3.6450
5965.30 5965.30 11.2364 3.6498
6016.01 6016.01 11.2424 3.6540
6066.72 6066.72 11.2477 3.6577
6117.44 6117.44 11.2521 3.6608
6168.15 6168.15 11.2557 3.6633
6218.86 6218.86 11.2586 3.6653
6269.57 6269.57 11.2606 3.6667
6320.29 6320.29 11.2618 3.6675
6371.00 6371.00 11.2622 3.6678
