Z(km) rho(km/m3) Vp(km/s) Vs(km/s) T(Cel)      P(Pascal)             Qp          Qs
0.000 2.800000 6.194836 3.580830 13.003000 13074768.000000 1000.000000 200.000000  
0.476 2.800000 6.194836 3.580830 13.003000 13074768.000000 1000.000000 200.000000  
1.429 2.800000 6.194836 3.580830 38.795000 39251772.000000 1000.000000 200.000000  
1.905 2.800000 6.194836 3.580830 51.526000 52326540.000000 1000.000000 200.000000  
2.381 2.800000 6.194836 3.580830 64.166000 65401308.000000 1000.000000 200.000000  
2.857 2.800000 6.194836 3.580830 76.715000 78476076.000000 1000.000000 200.000000  
3.333 2.800000 6.194836 3.580830 89.174000 91550844.000000 1000.000000 200.000000  
3.81 2.800000 6.194836 3.580830 101.568000 104653080.000000 1000.000000 200.000000  
4.286 2.800000 6.194836 3.580830 113.845000 117727848.000000 1000.000000 200.000000  
5.238 2.800000 6.194836 3.580830 138.155000 143877384.000000 1000.000000 200.000000  
5.714 2.800000 6.194836 3.580830 150.159000 156952152.000000 1000.000000 200.000000  
6.19 2.800000 6.194836 3.580830 162.072000 170026920.000000 1000.000000 200.000000  
6.667 2.800000 6.194836 3.580830 173.918000 183129156.000000 1000.000000 200.000000  
7.619 2.800000 6.194836 3.580830 197.317000 209278692.000000 1000.000000 200.000000  
8.571 2.800000 6.194836 3.580830 220.352000 235428228.000000 1000.000000 200.000000  
9.524 2.800000 6.194836 3.580830 243.045000 261605232.000000 1000.000000 200.000000  
10.476 2.800000 6.194836 3.580830 265.349000 287754768.000000 1000.000000 200.000000  
11.429 2.800000 6.194836 3.580830 287.310000 313931772.000000 1000.000000 200.000000  
12.381 2.800000 6.194836 3.580830 308.882000 340081308.000000 1000.000000 200.000000  
13.333 2.800000 6.194836 3.580830 330.089000 366230844.000000 1000.000000 200.000000  
15 2.800000 6.194836 3.580830 366.418000 412020000.000000 1000.000000 200.000000  
16.19 2.800000 6.194836 3.580830 391.744000 444706920.000000 1000.000000 200.000000  
18.095 2.800000 6.194836 3.580830 431.010000 497033460.000000 1000.000000 200.000000  
20 2.800000 6.194836 3.580830 468.820000 549360000.000000 1000.000000 200.000000  
21.905 2.800000 6.194836 3.580830 505.176000 601686540.000000 1000.000000 200.000000  
23.81 2.800000 6.194836 3.580830 540.079000 654013080.000000 1000.000000 200.000000  
25.714 2.800000 6.194836 3.580830 573.514000 706312152.000000 1000.000000 200.000000  
27.619 2.800000 6.194836 3.580830 605.519000 758638692.000000 1000.000000 200.000000  
29.524 2.800000 6.194836 3.580830 636.076000 810965232.000000 1000.000000 200.000000  
31.429 2.800000 6.194836 3.580830 665.188000 863291772.000000 1000.000000 200.000000  
33.333 2.800000 6.194836 3.580830 692.844000 915590844.000000 1000.000000 200.000000  
35 2.800000 6.194836 3.580830 715.851000 961380000.000000 1000.000000 200.000000  
38.095 3.290403 7.988000 4.561000 740.354000 1061287945.095000 7780.791750 3890.395875  
40.952 3.289893 7.980000 4.552000 762.781000 1153503118.096000 6141.481917 3070.740958  
43.81 3.290048 7.983000 4.548000 785.153000 1245750565.242000 4899.696044 2449.848022  
46.667 3.300945 8.012000 4.556000 807.175000 1338116316.562000 3961.822161 1980.911080  
49.524 3.302101 8.023000 4.554000 828.881000 1430657362.145000 3242.362306 1621.181153  
52.381 3.302517 8.017000 4.547000 850.293000 1523217008.088000 2682.613041 1341.306521  
55.238 3.303337 8.026000 4.546000 871.403000 1615795428.641000 2242.288239 1121.144120  
58.095 3.303419 8.021000 4.539000 892.247000 1708384731.319000 1891.482110 945.741055  
60.952 3.304035 8.028000 4.538000 912.832000 1800992107.140000 1609.173545 804.586773  
63.81 3.304991 8.029000 4.533000 933.200000 1893652494.157000 1379.413214 689.706607  
66.667 3.307604 8.030000 4.529000 953.381000 1986320134.893000 1190.556427 595.278214  
71.429 3.307987 8.030000 4.520000 986.642000 2140843640.571000 944.395269 472.197635  
76.19 3.309282 8.041000 4.517000 1019.507000 2295390698.788000 760.616830 380.308415  
80.952 3.311244 8.039000 4.508000 1052.088000 2450032960.300000 620.634368 310.317184  
85.714 3.311797 8.035000 4.497000 1084.454000 2604733858.143000 512.231424 256.115712  
90.476 3.312720 8.037000 4.490000 1116.761000 2759478165.242000 426.750448 213.375224  
95.238 3.314115 8.040000 4.483000 1149.074000 2914279867.173000 358.488589 179.244295  
100 3.314529 8.033000 4.471000 1181.462000 3069113127.890000 303.336989 151.668494  
104.762 3.315671 8.027000 4.458000 1214.016000 3223989430.412000 258.270239 129.135119  
109.524 3.316724 8.029000 4.451000 1246.829000 3378919131.276000 221.065392 110.532696  
114.286 3.317891 8.029000 4.441000 1279.905000 3533903529.614000 190.170195 95.085098  
